op_class, num_inst, percent_inst
No_OpClass,17397,0.63%
IntAlu,2148941,77.81%
IntMult,1924,0.07%
IntDiv,24307,0.88%
FloatAdd,7748,0.28%
FloatCmp,0,0.00%
FloatCvt,1472,0.05%
FloatMult,4000,0.14%
FloatMultAcc,0,0.00%
FloatDiv,0,0.00%
FloatMisc,0,0.00%
FloatSqrt,0,0.00%
SimdAdd,18,0.00%
SimdAddAcc,0,0.00%
SimdAlu,4197,0.15%
SimdCmp,0,0.00%
SimdCvt,222,0.01%
SimdMisc,4234,0.15%
SimdMult,0,0.00%
SimdMultAcc,0,0.00%
SimdShift,27,0.00%
SimdShiftAcc,0,0.00%
SimdDiv,0,0.00%
SimdSqrt,0,0.00%
SimdFloatAdd,8000,0.29%
SimdFloatAlu,0,0.00%
SimdFloatCmp,0,0.00%
SimdFloatCvt,4000,0.14%
SimdFloatDiv,2000,0.07%
SimdFloatMisc,0,0.00%
SimdFloatMult,5000,0.18%
SimdFloatMultAcc,0,0.00%
SimdFloatSqrt,0,0.00%
SimdReduceAdd,0,0.00%
SimdReduceAlu,0,0.00%
SimdReduceCmp,0,0.00%
SimdFloatReduceAdd,0,0.00%
SimdFloatReduceCmp,0,0.00%
SimdAes,0,0.00%
SimdAesMix,0,0.00%
SimdSha1Hash,0,0.00%
SimdSha1Hash2,0,0.00%
SimdSha256Hash,0,0.00%
SimdSha256Hash2,0,0.00%
SimdShaSigma2,0,0.00%
SimdShaSigma3,0,0.00%
SimdPredAlu,0,0.00%
MemRead,358584,12.98%
MemWrite,135675,4.91%
FloatMemRead,20200,0.73%
FloatMemWrite,13966,0.51%
IprAccess,0,0.00%
InstPrefetch,0,0.00%
