


op_class, num_inst, percent_inst
No_OpClass,17154,0.64%
IntAlu,2104635,78.01%
IntMult,1913,0.07%
IntDiv,24008,0.89%
FloatAdd,6618,0.25%
FloatCmp,0,0.00%
FloatCvt,1232,0.05%
FloatMult,4000,0.15%
FloatMultAcc,0,0.00%
FloatDiv,0,0.00%
FloatMisc,0,0.00%
FloatSqrt,0,0.00%
SimdAdd,16,0.00%
SimdAddAcc,0,0.00%
SimdAlu,4186,0.16%
SimdCmp,0,0.00%
SimdCvt,174,0.01%
SimdMisc,4165,0.15%
SimdMult,0,0.00%
SimdMultAcc,0,0.00%
SimdShift,24,0.00%
SimdShiftAcc,0,0.00%
SimdDiv,0,0.00%
SimdSqrt,0,0.00%
SimdFloatAdd,6000,0.22%
SimdFloatAlu,0,0.00%
SimdFloatCmp,0,0.00%
SimdFloatCvt,4000,0.15%
SimdFloatDiv,2000,0.07%
SimdFloatMisc,0,0.00%
SimdFloatMult,4000,0.15%
SimdFloatMultAcc,0,0.00%
SimdFloatSqrt,0,0.00%
SimdReduceAdd,0,0.00%
SimdReduceAlu,0,0.00%
SimdReduceCmp,0,0.00%
SimdFloatReduceAdd,0,0.00%
SimdFloatReduceCmp,0,0.00%
SimdAes,0,0.00%
SimdAesMix,0,0.00%
SimdSha1Hash,0,0.00%
SimdSha1Hash2,0,0.00%
SimdSha256Hash,0,0.00%
SimdSha256Hash2,0,0.00%
SimdShaSigma2,0,0.00%
SimdShaSigma3,0,0.00%
SimdPredAlu,0,0.00%
MemRead,352236,13.06%
MemWrite,132387,4.91%
FloatMemRead,16636,0.62%
FloatMemWrite,12465,0.46%
IprAccess,0,0.00%
InstPrefetch,0,0.00%



op_class, num_inst, percent_inst
No_OpClass,1,0.01%
IntAlu,7011,53.86%
IntMult,0,0.00%
IntDiv,0,0.00%
FloatAdd,1001,7.69%
FloatCmp,0,0.00%
FloatCvt,0,0.00%
FloatMult,0,0.00%
FloatMultAcc,0,0.00%
FloatDiv,0,0.00%
FloatMisc,0,0.00%
FloatSqrt,0,0.00%
SimdAdd,0,0.00%
SimdAddAcc,0,0.00%
SimdAlu,0,0.00%
SimdCmp,0,0.00%
SimdCvt,0,0.00%
SimdMisc,0,0.00%
SimdMult,0,0.00%
SimdMultAcc,0,0.00%
SimdShift,0,0.00%
SimdShiftAcc,0,0.00%
SimdDiv,0,0.00%
SimdSqrt,0,0.00%
SimdFloatAdd,1000,7.68%
SimdFloatAlu,0,0.00%
SimdFloatCmp,0,0.00%
SimdFloatCvt,0,0.00%
SimdFloatDiv,0,0.00%
SimdFloatMisc,0,0.00%
SimdFloatMult,1000,7.68%
SimdFloatMultAcc,0,0.00%
SimdFloatSqrt,0,0.00%
SimdReduceAdd,0,0.00%
SimdReduceAlu,0,0.00%
SimdReduceCmp,0,0.00%
SimdFloatReduceAdd,0,0.00%
SimdFloatReduceCmp,0,0.00%
SimdAes,0,0.00%
SimdAesMix,0,0.00%
SimdSha1Hash,0,0.00%
SimdSha1Hash2,0,0.00%
SimdSha256Hash,0,0.00%
SimdSha256Hash2,0,0.00%
SimdShaSigma2,0,0.00%
SimdShaSigma3,0,0.00%
SimdPredAlu,0,0.00%
MemRead,1,0.01%
MemWrite,1,0.01%
FloatMemRead,2001,15.37%
FloatMemWrite,1000,7.68%
IprAccess,0,0.00%
InstPrefetch,0,0.00%



op_class, num_inst, percent_inst
No_OpClass,242,0.47%
IntAlu,37313,73.06%
IntMult,11,0.02%
IntDiv,299,0.59%
FloatAdd,129,0.25%
FloatCmp,0,0.00%
FloatCvt,240,0.47%
FloatMult,0,0.00%
FloatMultAcc,0,0.00%
FloatDiv,0,0.00%
FloatMisc,0,0.00%
FloatSqrt,0,0.00%
SimdAdd,2,0.00%
SimdAddAcc,0,0.00%
SimdAlu,11,0.02%
SimdCmp,0,0.00%
SimdCvt,48,0.09%
SimdMisc,69,0.14%
SimdMult,0,0.00%
SimdMultAcc,0,0.00%
SimdShift,3,0.01%
SimdShiftAcc,0,0.00%
SimdDiv,0,0.00%
SimdSqrt,0,0.00%
SimdFloatAdd,1000,1.96%
SimdFloatAlu,0,0.00%
SimdFloatCmp,0,0.00%
SimdFloatCvt,0,0.00%
SimdFloatDiv,0,0.00%
SimdFloatMisc,0,0.00%
SimdFloatMult,0,0.00%
SimdFloatMultAcc,0,0.00%
SimdFloatSqrt,0,0.00%
SimdReduceAdd,0,0.00%
SimdReduceAlu,0,0.00%
SimdReduceCmp,0,0.00%
SimdFloatReduceAdd,0,0.00%
SimdFloatReduceCmp,0,0.00%
SimdAes,0,0.00%
SimdAesMix,0,0.00%
SimdSha1Hash,0,0.00%
SimdSha1Hash2,0,0.00%
SimdSha256Hash,0,0.00%
SimdSha256Hash2,0,0.00%
SimdShaSigma2,0,0.00%
SimdShaSigma3,0,0.00%
SimdPredAlu,0,0.00%
MemRead,6349,12.43%
MemWrite,3289,6.44%
FloatMemRead,1563,3.06%
FloatMemWrite,501,0.98%
IprAccess,0,0.00%
InstPrefetch,0,0.00%
